bin,m/z,Depth0
183,1.9953594147796366e-07,0
184,1.7958234733017285e-06,0
185,4.988398536949276e-06,0
186,9.777261132420478e-06,0
187,1.6162411259715724e-05,0
188,2.4143848918834418e-05,0
189,3.3721574109776827e-05,0
190,4.489558683254349e-05,0
191,5.766588708713339e-05,0
192,7.203247487354698e-05,0
193,8.799535019178509e-05,0
194,0.0001055545130418462,0
195,0.0001247099634237319,0
196,0.0001454617013374405,0
197,0.0001678097267829728,0
198,0.00019175403976032996,0
199,0.00021729464026950978,0
200,0.00024443152831051397,0
201,0.00027316470388334186,0
202,0.0003034941669879928,0
203,0.0003354199176244684,0
204,0.00036894195579276754,0
205,0.00040406028149289055,0
206,0.0004407748947248366,0
207,0.0004790857954886071,0
208,0.0005189929837842014,0
209,0.0005604964596116187,0
210,0.0006035962229708615,0
211,0.000648292273861926,0
212,0.0006945846122848146,0
213,0.0007424732382395288,0
214,0.0007919581517260669,0
215,0.0008430393527444266,0
216,0.0008957168412946099,0
217,0.0009499906173766169,0
218,0.0010058606809904478,0
219,0.0010633270321361076,0
220,0.0011223896708135858,0
221,0.0011830485970228879,0
222,0.0012453038107640133,0
223,0.0013091553120369633,0
224,0.0013746031008417426,0
225,0.0014416471771783394,0
226,0.00151028754104676,0
227,0.0015805241924470045,0
228,0.0016523571313790725,0
229,0.0017257863578429684,0
230,0.0018008118718386874,0
231,0.0018774336733662267,0
232,0.0019556517624255898,0
233,0.0020354661390167765,0
234,0.0021168768031397905,0
235,0.0021998837547946254,0
236,0.0022844869939812875,0
237,0.002370686520699769,0
238,0.0024584823349500747,0
239,0.002547874436732208,0
240,0.002638862826046161,0
241,0.0027314475028919418,0
242,0.0028256284672695427,0
243,0.002921405719178967,0
244,0.0030187792586202195,0
245,0.003117749085593291,0
246,0.003218315200098186,0
247,0.00332047760213491,0
248,0.0034242362917034537,0
249,0.003529591268803825,0
250,0.0036365425334360154,0
251,0.003745090085600029,0
252,0.003855233925295872,0
253,0.003966974052523534,0
254,0.004080310467283024,0
255,0.004195243169574333,0
256,0.004311772159397466,0
257,0.004429897436752424,0
258,0.00454961900163921,0
259,0.004670936854057819,0
260,0.004793850994008247,0
261,0.004918361421490498,0
262,0.005044468136504573,0
263,0.005172171139050478,0
264,0.005301470429128207,0
265,0.005432366006737753,0
266,0.005564857871879123,0
267,0.005698946024552317,0
268,0.005834630464757334,0
269,0.005971911192494188,0
270,0.006110788207762855,0
271,0.006251261510563344,0
272,0.006393331100895657,0
273,0.006536996978759793,0
274,0.006682259144155766,0
275,0.006829117597083549,0
276,0.006977572337543157,0
277,0.007127623365534588,0
278,0.007279270681057843,0
279,0.007432514284112929,0
280,0.007587354174699838,0
281,0.007743790352818564,0
282,0.007901822818469116,0
283,0.00806145157165149,0
284,0.008222676612365695,0
285,0.008385497940611723,0
286,0.008549915556389568,0
287,0.008715929459699236,0
288,0.008883539650540728,0
289,0.009052746128914053,0
290,0.009223548894819193,0
291,0.009395947948256165,0
292,0.00956994328922495,0
293,0.009745534917725562,0
294,0.009922722833758007,0
295,0.010101507037322266,0
296,0.010281887528418356,0
297,0.010463864307046261,0
298,0.010647437373205991,0
299,0.010832606726897554,0
300,0.01101937236812093,0
301,0.011207734296876132,0
